trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.5,20,1,0,0.1,median,0.1
-0.12,20,1,0,0.1,median,0.1
-0.07,20,1,0,0.1,median,0.1
0.020000000000000018,20,1,0,0.1,median,0.1
0.09000000000000008,20,1,0,0.1,median,0.1
0.12,20,1,0,0.1,median,0.1
0.24,20,1,0,0.1,median,0.1
0.27,20,1,0,0.1,median,0.1
0.33000000000000007,20,1,0,0.1,median,0.1
0.51,20,1,0,0.1,median,0.1
-0.09999999999999998,20,1,0,0.1,chen12,0.1
-0.06000000000000005,20,1,0,0.1,chen12,0.1
0.0,20,1,0,0.1,chen12,0.1
0.020000000000000018,20,1,0,0.1,chen12,0.2
0.040000000000000036,20,1,0,0.1,chen12,0.3
0.10000000000000009,20,1,0,0.1,chen12,0.1
0.1399999999999999,20,1,0,0.1,chen12,0.1
