trueloc,n_players,alpha,prop,eps,mech,selection_prop
-1.0,1,0.1,0,0.1,median,0.01
-0.9797979797979798,1,0.1,0,0.1,median,0.01
-0.9595959595959596,1,0.1,0,0.1,median,0.02
-0.9393939393939394,1,0.1,0,0.1,median,0.03
-0.898989898989899,1,0.1,0,0.1,median,0.02
-0.8585858585858586,1,0.1,0,0.1,median,0.01
-0.8383838383838383,1,0.1,0,0.1,median,0.01
-0.8181818181818181,1,0.1,0,0.1,median,0.01
-0.797979797979798,1,0.1,0,0.1,median,0.02
-0.7777777777777778,1,0.1,0,0.1,median,0.02
-0.7575757575757576,1,0.1,0,0.1,median,0.03
-0.7373737373737373,1,0.1,0,0.1,median,0.01
-0.6565656565656566,1,0.1,0,0.1,median,0.01
-0.6363636363636364,1,0.1,0,0.1,median,0.02
-0.6161616161616161,1,0.1,0,0.1,median,0.01
-0.5555555555555556,1,0.1,0,0.1,median,0.01
-0.5353535353535354,1,0.1,0,0.1,median,0.01
-0.5151515151515151,1,0.1,0,0.1,median,0.02
-0.4747474747474747,1,0.1,0,0.1,median,0.01
-0.4545454545454546,1,0.1,0,0.1,median,0.02
-0.43434343434343436,1,0.1,0,0.1,median,0.02
-0.41414141414141414,1,0.1,0,0.1,median,0.03
-0.3939393939393939,1,0.1,0,0.1,median,0.01
-0.3737373737373737,1,0.1,0,0.1,median,0.01
-0.31313131313131315,1,0.1,0,0.1,median,0.01
-0.29292929292929293,1,0.1,0,0.1,median,0.02
-0.2727272727272727,1,0.1,0,0.1,median,0.01
-0.2525252525252525,1,0.1,0,0.1,median,0.02
-0.23232323232323238,1,0.1,0,0.1,median,0.02
-0.21212121212121215,1,0.1,0,0.1,median,0.01
-0.19191919191919193,1,0.1,0,0.1,median,0.01
-0.1717171717171717,1,0.1,0,0.1,median,0.01
-0.1515151515151515,1,0.1,0,0.1,median,0.01
-0.07070707070707072,1,0.1,0,0.1,median,0.01
-0.0505050505050505,1,0.1,0,0.1,median,0.01
-0.030303030303030276,1,0.1,0,0.1,median,0.01
-0.010101010101010055,1,0.1,0,0.1,median,0.01
0.010101010101010166,1,0.1,0,0.1,median,0.03
0.030303030303030276,1,0.1,0,0.1,median,0.03
0.05050505050505061,1,0.1,0,0.1,median,0.01
0.07070707070707072,1,0.1,0,0.1,median,0.01
0.1515151515151516,1,0.1,0,0.1,median,0.01
0.19191919191919182,1,0.1,0,0.1,median,0.01
0.21212121212121215,1,0.1,0,0.1,median,0.01
0.29292929292929304,1,0.1,0,0.1,median,0.02
0.3535353535353536,1,0.1,0,0.1,median,0.01
0.3737373737373737,1,0.1,0,0.1,median,0.01
0.43434343434343425,1,0.1,0,0.1,median,0.02
0.4545454545454546,1,0.1,0,0.1,median,0.01
0.4747474747474747,1,0.1,0,0.1,median,0.03
0.49494949494949503,1,0.1,0,0.1,median,0.01
0.5151515151515151,1,0.1,0,0.1,median,0.01
0.5353535353535352,1,0.1,0,0.1,median,0.01
0.5555555555555556,1,0.1,0,0.1,median,0.01
0.5757575757575757,1,0.1,0,0.1,median,0.02
0.6161616161616161,1,0.1,0,0.1,median,0.01
0.6565656565656566,1,0.1,0,0.1,median,0.02
0.6767676767676767,1,0.1,0,0.1,median,0.01
0.696969696969697,1,0.1,0,0.1,median,0.03
0.797979797979798,1,0.1,0,0.1,median,0.03
0.8181818181818181,1,0.1,0,0.1,median,0.01
0.8383838383838385,1,0.1,0,0.1,median,0.01
0.8787878787878789,1,0.1,0,0.1,median,0.01
0.898989898989899,1,0.1,0,0.1,median,0.01
0.9191919191919191,1,0.1,0,0.1,median,0.02
0.9595959595959596,1,0.1,0,0.1,median,0.02
