trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.797979797979798,5,1,0,0.1,median,0.01
-0.7171717171717171,5,1,0,0.1,median,0.01
-0.6161616161616161,5,1,0,0.1,median,0.01
-0.595959595959596,5,1,0,0.1,median,0.01
-0.5757575757575757,5,1,0,0.1,median,0.01
-0.5555555555555556,5,1,0,0.1,median,0.04
-0.5151515151515151,5,1,0,0.1,median,0.01
-0.4949494949494949,5,1,0,0.1,median,0.01
-0.4545454545454546,5,1,0,0.1,median,0.02
-0.43434343434343436,5,1,0,0.1,median,0.02
-0.3939393939393939,5,1,0,0.1,median,0.01
-0.3535353535353535,5,1,0,0.1,median,0.03
-0.33333333333333337,5,1,0,0.1,median,0.01
-0.31313131313131315,5,1,0,0.1,median,0.01
-0.29292929292929293,5,1,0,0.1,median,0.02
-0.2727272727272727,5,1,0,0.1,median,0.03
-0.2525252525252525,5,1,0,0.1,median,0.01
-0.23232323232323238,5,1,0,0.1,median,0.01
-0.21212121212121215,5,1,0,0.1,median,0.01
-0.19191919191919193,5,1,0,0.1,median,0.03
-0.1717171717171717,5,1,0,0.1,median,0.01
-0.1515151515151515,5,1,0,0.1,median,0.01
-0.13131313131313127,5,1,0,0.1,median,0.02
-0.11111111111111116,5,1,0,0.1,median,0.02
-0.09090909090909094,5,1,0,0.1,median,0.05
-0.0505050505050505,5,1,0,0.1,median,0.04
-0.030303030303030276,5,1,0,0.1,median,0.01
-0.010101010101010055,5,1,0,0.1,median,0.02
0.030303030303030276,5,1,0,0.1,median,0.01
0.05050505050505061,5,1,0,0.1,median,0.01
0.07070707070707072,5,1,0,0.1,median,0.04
0.09090909090909083,5,1,0,0.1,median,0.04
0.11111111111111116,5,1,0,0.1,median,0.02
0.13131313131313127,5,1,0,0.1,median,0.02
0.1515151515151516,5,1,0,0.1,median,0.01
0.1717171717171717,5,1,0,0.1,median,0.03
0.19191919191919182,5,1,0,0.1,median,0.05
0.21212121212121215,5,1,0,0.1,median,0.02
0.23232323232323226,5,1,0,0.1,median,0.01
0.2525252525252526,5,1,0,0.1,median,0.02
0.29292929292929304,5,1,0,0.1,median,0.02
0.33333333333333326,5,1,0,0.1,median,0.01
0.3535353535353536,5,1,0,0.1,median,0.03
0.3737373737373737,5,1,0,0.1,median,0.01
0.39393939393939403,5,1,0,0.1,median,0.03
0.43434343434343425,5,1,0,0.1,median,0.02
0.4545454545454546,5,1,0,0.1,median,0.01
0.4747474747474747,5,1,0,0.1,median,0.01
0.5151515151515151,5,1,0,0.1,median,0.01
0.5757575757575757,5,1,0,0.1,median,0.02
0.595959595959596,5,1,0,0.1,median,0.01
0.6363636363636365,5,1,0,0.1,median,0.01
0.6565656565656566,5,1,0,0.1,median,0.01
0.6767676767676767,5,1,0,0.1,median,0.01
0.7171717171717171,5,1,0,0.1,median,0.01
-0.21212121212121215,5,1,0,0.1,chen12,0.01
-0.1515151515151515,5,1,0,0.1,chen12,0.04
-0.13131313131313127,5,1,0,0.1,chen12,0.03
-0.09090909090909094,5,1,0,0.1,chen12,0.03
-0.07070707070707072,5,1,0,0.1,chen12,0.1
-0.0505050505050505,5,1,0,0.1,chen12,0.1
-0.030303030303030276,5,1,0,0.1,chen12,0.07
-0.010101010101010055,5,1,0,0.1,chen12,0.05
0.010101010101010166,5,1,0,0.1,chen12,0.17
0.030303030303030276,5,1,0,0.1,chen12,0.07
0.05050505050505061,5,1,0,0.1,chen12,0.09
0.07070707070707072,5,1,0,0.1,chen12,0.07
0.09090909090909083,5,1,0,0.1,chen12,0.01
0.11111111111111116,5,1,0,0.1,chen12,0.05
0.13131313131313127,5,1,0,0.1,chen12,0.04
0.1515151515151516,5,1,0,0.1,chen12,0.03
0.19191919191919182,5,1,0,0.1,chen12,0.01
0.21212121212121215,5,1,0,0.1,chen12,0.02
0.23232323232323226,5,1,0,0.1,chen12,0.01
