trueloc,n_players,alpha,prop,eps,mech,util,ent,util_se
-0.09999999999999998,9,1,0,1e-05,median,-0.23200000000000004,2.994928782489477,0.01943604898121015
-0.09999999999999998,9,1,0,1e-05,chen12,-0.13,2.9956906815074476,0.009643650760992956
-0.5,9,1,0,1e-05,median,-0.5059999999999999,2.9915400581666036,0.02660150371689541
-0.5,9,1,0,1e-05,chen12,-0.482,2.9956740981519347,0.013955644019535607
-0.09999999999999998,9,1,0,1e-05,median,-0.23200000000000004,2.994928782489477,0.01943604898121015
-0.09999999999999998,9,1,0,1e-05,chen12,-0.13,2.9956906815074476,0.009643650760992956
0.0,9,1,0,1e-05,median,-0.228,2.99447349923193,0.017554486605993354
0.0,9,1,0,1e-05,chen12,-0.10800000000000001,2.9956809487472436,0.009019977827023745
0.0,9,1,0,1e-05,median,-0.228,2.99447349923193,0.017554486605993354
0.0,9,1,0,1e-05,chen12,-0.10800000000000001,2.9956809487472436,0.009019977827023745
0.0,9,1,0,1e-05,median,-0.228,2.99447349923193,0.017554486605993354
0.0,9,1,0,1e-05,chen12,-0.10800000000000001,2.9956809487472436,0.009019977827023745
-0.4,9,1,0,1e-05,median,-0.41800000000000004,2.9926993426011697,0.025154721226839306
-0.4,9,1,0,1e-05,chen12,-0.382,2.9956749386512587,0.013955644019535607
0.5,9,1,0,1e-05,median,-0.514,2.991040518350801,0.027313732809705817
0.5,9,1,0,1e-05,chen12,-0.518,2.995672775132582,0.013955644019535607
0.7,9,1,0,1e-05,median,-0.706,2.9905682415594836,0.028768733027368442
0.7,9,1,0,1e-05,chen12,-0.718,2.9956727751325825,0.013955644019535609
mean,9,1,0,1e-05,median,-0.36577777777777776,2.9932362470392,0.010911178999562506
mean,9,1,0,1e-05,chen12,-0.29822222222222217,2.9956798662583313,0.0044157965599945
-0.09999999999999998,9,1,0,0.0001,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.0001,chen12,-0.129,2.995690530624087,0.009725739046468397
-0.5,9,1,0,0.0001,median,-0.486,2.9921737026230035,0.025613277806637712
-0.5,9,1,0,0.0001,chen12,-0.48300000000000004,2.995672649994881,0.013860375175297385
-0.09999999999999998,9,1,0,0.0001,median,-0.22000000000000003,2.9950977705102635,0.01849324200890693
-0.09999999999999998,9,1,0,0.0001,chen12,-0.129,2.995690530624087,0.009725739046468397
0.0,9,1,0,0.0001,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.0001,chen12,-0.10700000000000001,2.9956807951685316,0.008972736483370053
0.0,9,1,0,0.0001,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.0001,chen12,-0.10700000000000001,2.9956807951685316,0.008972736483370053
0.0,9,1,0,0.0001,median,-0.222,2.9949849221802447,0.01688668114224936
0.0,9,1,0,0.0001,chen12,-0.10700000000000001,2.9956807951685316,0.008972736483370053
-0.4,9,1,0,0.0001,median,-0.398,2.992969033291263,0.024206610667336308
-0.4,9,1,0,0.0001,chen12,-0.38299999999999995,2.995673490200798,0.013860375175297385
0.5,9,1,0,0.0001,median,-0.53,2.9916276707972993,0.027000000000000003
0.5,9,1,0,0.0001,chen12,-0.517,2.9956713232107726,0.013860375175297385
0.7,9,1,0,0.0001,median,-0.726,2.9913422360887187,0.027771208111999734
0.7,9,1,0,0.0001,chen12,-0.7170000000000001,2.9956713232107735,0.013860375175297385
mean,9,1,0,0.0001,median,-0.36066666666666664,2.9936958833735052,0.010426012104110649
mean,9,1,0,0.0001,chen12,-0.29766666666666663,2.995679137041221,0.004420197749891757
